document, id, folder,total_out_count,total_in_count, total_out_unique_count, total_in_unique_count
"A_56_17-en.xml","A/56/17","TOP_100",11,6,8,3
"A_CN9_623-en.xml","A/CN.9/623","TOP_100",77,16,4,5
"A_CN9_568-en.xml","A/CN.9/568","TOP_100",73,0,9,0
"A_CN9_575-en.xml","A/CN.9/575","TOP_100",51,8,8,1
"A_CN9_668-en.xml","A/CN.9/668","TOP_100",10,8,2,7
"A_CN9_595-en.xml","A/CN.9/595","TOP_100",71,3,7,2
"A_CN9_615-en.xml","A/CN.9/615","TOP_100",70,10,5,4
"A_CN9_WGI_WP65-en.xml","A/CN.9/WG.I/WP.65","TOP_100",1,133,1,7
"A_61_10-en.xml","A/61/10","TOP_100",11,5,5,3
"ST_SGB_2000_8-en.xml","ST/SGB/2000/8","TOP_100",13,2,7,1
"A_CN9_590-en.xml","A/CN.9/590","TOP_100",107,12,6,2
"A_57_387-en.xml","A/57/387","TOP_100",13,1,6,1
"E_CN4_2005_135-E_2005_23SUPP-en.xml","E/CN.4/2005/135-E/2005/23(SUPP)","TOP_100",0,25,0,7
"A_CN9_WGI_WP70-en.xml","A/CN.9/WG.I/WP.70","TOP_100",0,135,0,7
"ST_SGB_2003_13-en.xml","ST/SGB/2003/13","TOP_100",12,0,7,0
"A_CN9_WGI_WP67-en.xml","A/CN.9/WG.I/WP.67","TOP_100",0,135,0,7
"A_CN9_WGIII_WP81-en.xml","A/CN.9/WG.III/WP.81","TOP_100",68,72,1,5
"S_2006_507-en.xml","S/2006/507","TOP_100",5,1,4,1
"A_CN9_WGIII_WP56-en.xml","A/CN.9/WG.III/WP.56","TOP_100",60,252,2,3
"A_58_16-en.xml","A/58/16","TOP_100",3,5,2,3
"E_CN4_2004_127-E_2004_23SUPP-en.xml","E/CN.4/2004/127-E/2004/23(SUPP)","TOP_100",0,18,0,5
"A_CONF189_12-en.xml","A/CONF.189/12","TOP_100",56,0,5,0
"A_CN9_WGIII_WP32-en.xml","A/CN.9/WG.III/WP.32","TOP_100",185,131,2,2
"A_59_2005-en.xml","A/59/2005","TOP_100",4,6,1,3
"A_61_255-en.xml","A/61/255","TOP_100",1,8,1,3
"A_CN9_485-en.xml","A/CN.9/485","TOP_100",3,10,2,2
"A_CN9_468-en.xml","A/CN.9/468","TOP_100",11,1,3,1
"A_CN9_526-en.xml","A/CN.9/526","TOP_100",208,2,3,1
"A_C2_56_7-en.xml","A/C.2/56/7","TOP_100",3,0,3,0
"A_60_692-en.xml","A/60/692","TOP_100",5,1,2,1
"A_59_565-en.xml","A/59/565","TOP_100",7,0,3,0
"A_54_2000-en.xml","A/54/2000","TOP_100",3,0,3,0
